iter	Passed	Remaining
554	2324	1863
555	2328	1859
556	2331	1854
557	2335	1849
558	2338	1845
559	2342	1840
560	2345	1835
561	2349	1831
562	2353	1826
563	2357	1822
564	2360	1817
565	2363	1812
566	2368	1808
567	2372	1804
568	2375	1799
569	2379	1795
570	2382	1790
571	2386	1785
572	2390	1781
573	2393	1776
574	2397	1771
575	2400	1767
576	2405	1763
577	2408	1758
578	2411	1753
579	2415	1748
580	2418	1744
581	2422	1740
582	2426	1735
583	2429	1730
584	2433	1726
585	2436	1721
586	2440	1716
587	2443	1712
588	2446	1707
589	2450	1702
590	2454	1698
591	2458	1694
592	2461	1689
593	2464	1684
594	2469	1680
595	2472	1676
596	2476	1671
597	2479	1667
598	2483	1662
599	2487	1658
600	2490	1653
601	2494	1648
602	2498	1644
603	2502	1640
604	2505	1635
605	2509	1631
606	2513	1627
607	2517	1623
608	2521	1618
609	2525	1614
610	2528	1609
611	2532	1605
612	2536	1601
613	2539	1596
614	2543	1592
615	2546	1587
616	2550	1583
617	2553	1578
618	2557	1574
619	2562	1570
620	2565	1565
621	2568	1561
622	2572	1556
623	2576	1552
624	2580	1548
625	2583	1543
626	2587	1539
627	2592	1535
628	2596	1531
629	2600	1526
630	2603	1522
631	2609	1519
632	2615	1516
633	2619	1512
634	2624	1508
635	2629	1504
636	2632	1500
637	2636	1496
638	2641	1492
639	2645	1487
640	2648	1483
641	2652	1479
642	2657	1475
643	2660	1470
644	2664	1466
645	2668	1462
646	2674	1458
647	2677	1454
648	2681	1450
649	2686	1446
650	2695	1445
651	2699	1440
652	2703	1436
653	2707	1432
654	2710	1427
655	2713	1423
656	2717	1418
657	2722	1414
658	2725	1410
659	2729	1405
660	2732	1401
661	2737	1397
662	2740	1393
663	2744	1388
664	2748	1384
665	2752	1380
666	2756	1376
667	2759	1371
668	2764	1367
669	2769	1364
670	2773	1359
671	2776	1355
672	2781	1351
673	2785	1347
674	2790	1343
675	2793	1339
676	2797	1334
677	2801	1330
678	2804	1325
679	2808	1321
680	2812	1317
681	2816	1313
682	2821	1309
683	2824	1305
684	2829	1300
685	2833	1296
686	2837	1292
687	2840	1288
688	2844	1284
689	2848	1279
690	2853	1275
691	2857	1271
692	2862	1268
693	2865	1263
694	2869	1259
695	2873	1254
696	2877	1251
697	2881	1246
698	2885	1242
699	2889	1238
700	2894	1234
701	2897	1230
702	2901	1225
703	2905	1221
704	2910	1218
705	2915	1213
706	2918	1209
707	2922	1205
708	2932	1203
709	2935	1198
710	2939	1194
711	2943	1190
712	2947	1186
713	2950	1181
714	2955	1177
715	2959	1173
716	2962	1169
717	2966	1165
718	2970	1161
719	2974	1156
720	2978	1152
721	2981	1148
722	2986	1144
723	2991	1140
724	2994	1135
725	2998	1131
726	3021	1134
727	3026	1130
728	3030	1126
729	3038	1123
730	3042	1119
731	3045	1115
732	3050	1111
733	3055	1107
734	3058	1102
735	3061	1098
736	3065	1093
737	3069	1089
738	3073	1085
739	3077	1081
740	3080	1076
741	3085	1072
742	3089	1068
743	3093	1064
744	3097	1060
745	3102	1056
746	3106	1052
747	3110	1047
748	3114	1043
749	3133	1044
750	3138	1040
751	3142	1036
752	3146	1032
753	3152	1028
754	3156	1024
755	3159	1019
756	3164	1015
757	3168	1011
758	3172	1007
759	3177	1003
760	3181	999
761	3187	995
762	3203	995
763	3207	990
764	3214	987
765	3217	982
766	3221	978
767	3225	974
768	3230	970
769	3234	966
770	3238	961
771	3242	957
772	3259	957
773	3262	952
774	3266	948
775	3270	943
776	3274	939
777	3278	935
778	3282	931
779	3285	926
780	3289	922
781	3294	918
782	3298	914
783	3301	909
784	3305	905
785	3310	901
786	3319	898
787	3324	894
788	3329	890
789	3332	885
790	3337	881
791	3341	877
792	3344	873
793	3348	868
794	3351	864
795	3355	860
796	3359	855
797	3362	851
798	3368	847
799	3372	843
800	3375	838
801	3379	834
802	3383	830
803	3387	825
804	3390	821
805	3394	817
806	3398	812
807	3402	808
808	3405	804
809	3409	799
810	3413	795
811	3417	791
812	3421	786
813	3424	782
814	3428	778
815	3432	774
816	3436	769
817	3439	765
818	3443	760
819	3447	756
820	3451	752
821	3455	748
822	3458	743
823	3463	739
824	3467	735
825	3470	731
